"fixed acidity","volatile acidity","citric acid","residual sugar","chlorides","free sulfur dioxide","total sulfur dioxide","density","pH","sulphates","alcohol","quality"
07.apr;0.7;0;01.sen;0.076;11;34;0.9978;mar.51;0.56;09.apr;5
07.avq;0.88;0;02.iyn;0.098;25;67;0.9968;03.fev;0.68;09.avq;5
07.avq;0.76;0.04;02.mar;0.092;15;54;0.997;mar.26;0.65;09.avq;5
11.fev;0.28;0.56;01.sen;0.075;17;60;0.998;mar.16;0.58;09.avq;6
07.apr;0.7;0;01.sen;0.076;11;34;0.9978;mar.51;0.56;09.apr;5
07.apr;0.66;0;01.avq;0.075;13;40;0.9978;mar.51;0.56;09.apr;5
07.sen;0.6;0.06;01.iyn;0.069;15;59;0.9964;03.mar;0.46;09.apr;5
07.mar;0.65;0;01.fev;0.065;15;21;0.9946;mar.39;0.47;10;7
07.avq;0.58;0.02;2;0.073;9;18;0.9968;mar.36;0.57;09.may;7
07.may;0.5;0.36;06.yan;0.071;17;102;0.9978;mar.35;0.8;10.may;5
06.iyl;0.58;0.08;01.avq;0.097;15;65;0.9959;mar.28;0.54;09.fev;5
07.may;0.5;0.36;06.yan;0.071;17;102;0.9978;mar.35;0.8;10.may;5
05.iyn;0.615;0;01.iyn;0.089;16;59;0.9943;mar.58;0.52;09.sen;5
07.avq;0.61;0.29;01.iyn;0.114;9;29;0.9974;mar.26;yan.56;09.yan;5
08.sen;0.62;0.18;03.avq;0.176;52;145;0.9986;mar.16;0.88;09.fev;5
08.sen;0.62;0.19;03.sen;0.17;51;148;0.9986;mar.17;0.93;09.fev;5
08.may;0.28;0.56;01.avq;0.092;35;103;0.9969;03.mar;0.75;10.may;7
08.yan;0.56;0.28;01.iyl;0.368;16;56;0.9968;03.noy;yan.28;09.mar;5
07.apr;0.59;0.08;04.apr;0.086;6;29;0.9974;mar.38;0.5;9;4
07.sen;0.32;0.51;01.avq;0.341;17;56;0.9969;03.apr;01.avq;09.fev;6
08.sen;0.22;0.48;01.avq;0.077;29;60;0.9968;mar.39;0.53;09.apr;6
07.iyn;0.39;0.31;02.mar;0.082;23;71;0.9982;mar.52;0.65;09.iyl;5
07.sen;0.43;0.21;01.iyn;0.106;10;37;0.9966;mar.17;0.91;09.may;5
08.may;0.49;0.11;02.mar;0.084;9;67;0.9968;mar.17;0.53;09.apr;5
06.sen;0.4;0.14;02.apr;0.085;21;40;0.9968;mar.43;0.63;09.iyl;6
06.mar;0.39;0.16;01.apr;0.08;11;23;0.9955;mar.34;0.56;09.mar;5
07.iyn;0.41;0.24;01.avq;0.08;4;11;0.9962;mar.28;0.59;09.may;5
07.sen;0.43;0.21;01.iyn;0.106;10;37;0.9966;mar.17;0.91;09.may;5
07.yan;0.71;0;01.sen;0.08;14;35;0.9972;mar.47;0.55;09.apr;5
07.avq;0.645;0;2;0.082;8;16;0.9964;mar.38;0.59;09.avq;6
06.iyl;0.675;0.07;02.apr;0.089;17;82;0.9958;mar.35;0.54;10.yan;5
06.sen;0.685;0;02.may;0.105;22;37;0.9966;mar.46;0.57;10.iyn;6
08.mar;0.655;0.12;02.mar;0.083;15;113;0.9966;mar.17;0.66;09.avq;5
06.sen;0.605;0.12;10.iyl;0.073;40;83;0.9993;mar.45;0.52;09.apr;6
05.fev;0.32;0.25;01.avq;0.103;13;50;0.9957;mar.38;0.55;09.fev;5
07.avq;0.645;0;05.may;0.086;5;18;0.9986;03.apr;0.55;09.iyn;6
07.avq;0.6;0.14;02.apr;0.086;3;15;0.9975;mar.42;0.6;10.avq;6
08.yan;0.38;0.28;02.yan;0.066;13;30;0.9968;mar.23;0.73;09.iyl;7
05.iyl;yan.13;0.09;01.may;0.172;7;19;0.994;03.may;0.48;09.avq;4
07.mar;0.45;0.36;05.sen;0.074;12;87;0.9978;mar.33;0.83;10.may;5
07.mar;0.45;0.36;05.sen;0.074;12;87;0.9978;mar.33;0.83;10.may;5
08.avq;0.61;0.3;02.avq;0.088;17;46;0.9976;mar.26;0.51;09.mar;4
07.may;0.49;0.2;02.iyn;0.332;8;14;0.9968;mar.21;0.9;10.may;6
08.yan;0.66;0.22;02.fev;0.069;9;23;0.9968;03.mar;01.fev;10.mar;5
06.avq;0.67;0.02;01.avq;0.05;5;11;0.9962;mar.48;0.52;09.may;5
04.iyn;0.52;0.15;02.yan;0.054;8;65;0.9934;03.sen;0.56;13.yan;4
07.iyl;0.935;0.43;02.fev;0.114;22;114;0.997;mar.25;0.73;09.fev;5
08.iyl;0.29;0.52;01.iyn;0.113;12;37;0.9969;mar.25;0.58;09.may;5
06.apr;0.4;0.23;01.iyn;0.066;5;12;0.9958;mar.34;0.56;09.fev;5
05.iyn;0.31;0.37;01.apr;0.074;12;96;0.9954;mar.32;0.58;09.fev;5
08.avq;0.66;0.26;01.iyl;0.074;4;23;0.9971;mar.15;0.74;09.fev;5
06.iyn;0.52;0.04;02.fev;0.069;8;15;0.9956;03.apr;0.63;09.apr;6
06.iyn;0.5;0.04;02.yan;0.068;6;14;0.9955;mar.39;0.64;09.apr;6
08.iyn;0.38;0.36;3;0.081;30;119;0.997;03.fev;0.56;09.apr;5
07.iyn;0.51;0.15;02.avq;0.11;33;73;0.9955;mar.17;0.63;10.fev;6
07.iyl;0.62;0.04;03.avq;0.084;25;45;0.9978;mar.34;0.53;09.may;5
10.fev;0.42;0.57;03.apr;0.07;4;10;0.9971;03.apr;0.63;09.iyn;5
07.may;0.63;0.12;05.yan;0.111;50;110;0.9983;mar.26;0.77;09.apr;5
07.avq;0.59;0.18;02.mar;0.076;17;54;0.9975;mar.43;0.59;10;5
07.mar;0.39;0.31;02.apr;0.074;9;46;0.9962;mar.41;0.54;09.apr;6
08.avq;0.4;0.4;02.fev;0.079;19;52;0.998;mar.44;0.64;09.fev;5
07.iyl;0.69;0.49;01.avq;0.115;20;112;0.9968;mar.21;0.71;09.mar;5
07.may;0.52;0.16;01.sen;0.085;12;35;0.9968;mar.38;0.62;09.may;7
7;0.735;0.05;2;0.081;13;54;0.9966;mar.39;0.57;09.avq;5
07.fev;0.725;0.05;apr.65;0.086;4;11;0.9962;mar.41;0.39;10.sen;5
07.fev;0.725;0.05;apr.65;0.086;4;11;0.9962;mar.41;0.39;10.sen;5
07.may;0.52;0.11;01.may;0.079;11;39;0.9968;mar.42;0.58;09.iyn;5
06.iyn;0.705;0.07;01.iyn;0.076;6;15;0.9962;mar.44;0.58;10.iyl;5
09.mar;0.32;0.57;2;0.074;27;65;0.9969;mar.28;0.79;10.iyl;5
8;0.705;0.05;01.sen;0.074;8;19;0.9962;mar.34;0.95;10.may;6
07.iyl;0.63;0.08;01.sen;0.076;15;27;0.9967;mar.32;0.54;09.may;6
07.iyl;0.67;0.23;02.yan;0.088;17;96;0.9962;mar.32;0.48;09.may;5
07.iyl;0.69;0.22;01.sen;0.084;18;94;0.9961;mar.31;0.48;09.may;5
08.mar;0.675;0.26;02.yan;0.084;11;43;0.9976;mar.31;0.53;09.fev;4
09.iyl;0.32;0.54;02.may;0.094;28;83;0.9984;mar.28;0.82;09.iyn;5
08.avq;0.41;0.64;02.fev;0.093;9;42;0.9986;mar.54;0.66;10.may;5
08.avq;0.41;0.64;02.fev;0.093;9;42;0.9986;mar.54;0.66;10.may;5
06.avq;0.785;0;02.apr;0.104;14;30;0.9966;mar.52;0.55;10.iyl;6
06.iyl;0.75;0.12;2;0.086;12;80;0.9958;mar.38;0.52;10.yan;5
08.mar;0.625;0.2;01.may;0.08;27;119;0.9972;mar.16;01.dek;09.yan;4
06.fev;0.45;0.2;01.iyn;0.069;3;15;0.9958;mar.41;0.56;09.fev;5
07.avq;0.43;0.7;01.sen;0.464;22;67;0.9974;mar.13;yan.28;09.apr;5
07.apr;0.5;0.47;2;0.086;21;73;0.997;mar.36;0.57;09.yan;5
07.mar;0.67;0.26;01.avq;0.401;16;51;0.9969;mar.16;yan.14;09.apr;5
06.mar;0.3;0.48;01.avq;0.069;18;61;0.9959;mar.44;0.78;10.mar;6
06.sen;0.55;0.15;02.fev;0.076;19;40;0.9961;mar.41;0.59;10.yan;5
08.iyn;0.49;0.28;01.sen;0.11;20;136;0.9972;fev.93;yan.95;09.sen;6
07.iyl;0.49;0.26;01.sen;0.062;9;31;0.9966;mar.39;0.64;09.iyn;5
09.mar;0.39;0.44;02.yan;0.107;34;125;0.9978;mar.14;yan.22;09.may;5
7;0.62;0.08;01.avq;0.076;8;24;0.9978;mar.48;0.53;9;5
07.sen;0.52;0.26;01.sen;0.079;42;140;0.9964;mar.23;0.54;09.may;5
08.iyn;0.49;0.28;01.sen;0.11;20;136;0.9972;fev.93;yan.95;09.sen;6
08.iyn;0.49;0.29;2;0.11;19;133;0.9972;fev.93;yan.98;09.avq;5
